PS_i	PS_j	Sim_HPO
PS121210	PS604233	4.39403
PS142690	PS266600	3.85666
PS192500	PS609620	3.51135
PS306400	PS308230	3.49641
PS266600	PS306400	3.47284
PS142690	PS306400	3.20615
PS601144	PS609620	3.11363
PS120435	PS175100	3.09751
PS220400	PS609620	3.08367
PS133100	PS187300	3.08242
PS120435	PS151623	3.03727
PS608583	PS609620	3.01271
PS151660	PS608594	2.99113
PS308230	PS308240	2.97331
PS306400	PS308240	2.97015
PS158350	PS191100	2.95826
PS113900	PS608567	2.94222
PS306400	PS601495	2.91512
PS308230	PS607594	2.91374
PS151623	PS175100	2.91309
PS113900	PS609620	2.90644
PS256300	PS603278	2.89667
PS122000	PS136800	2.89413
PS193100	PS612286	2.87165
PS308230	PS601495	2.86475
PS192500	PS601144	2.86406
PS306400	PS607594	2.84838
PS604772	PS609620	2.84817
PS185800	PS186500	2.73357
PS268310	PS601390	2.71133
PS114580	PS306400	2.69353
PS121200	PS121210	2.68329
PS256300	PS300009	2.67405
PS192500	PS220400	2.661
PS151660	PS248370	2.6575
PS300009	PS603278	2.64588
PS136520	PS153840	2.63189
PS608567	PS609620	2.61524
PS107970	PS609620	2.61095
PS162000	PS603278	2.59938
PS131100	PS168000	2.59668
PS201000	PS268310	2.57717
PS203100	PS203300	2.56128
PS121200	PS604233	2.55257
PS134600	PS612286	2.54423
PS114580	PS142690	2.53635
PS601495	PS607594	2.53177
PS259900	PS300009	2.52628
PS113900	PS192500	2.51091
PS142690	PS177900	2.51073
PS300009	PS612286	2.50933
PS168000	PS191100	2.50385
PS145980	PS612286	2.49989
PS162000	PS256100	2.49252
PS604772	PS608583	2.49129
PS187300	PS208000	2.48828
PS107970	PS192500	2.47935
PS107970	PS608583	2.47757
PS202700	PS306400	2.47332
PS601144	PS608583	2.46562
PS133780	PS153840	2.46513
PS131100	PS158350	2.46241
PS244400	PS601495	2.4619
PS193000	PS236730	2.45834
PS608567	PS608583	2.45681
PS305100	PS605389	2.45145
PS187300	PS607086	2.45055
PS145980	PS300009	2.43727
PS162000	PS300009	2.43706
PS108800	PS614429	2.43184
PS306400	PS607765	2.42731
PS113900	PS608583	2.41598
PS122470	PS268310	2.41412
PS237450	PS607765	2.40833
PS208000	PS607086	2.40827
PS162000	PS256300	2.40749
PS115200	PS604169	2.4033
PS105550	PS213600	2.38459
PS187300	PS609192	2.38426
PS256100	PS603278	2.37974
PS308240	PS607765	2.37668
PS108720	PS607326	2.36114
PS242860	PS308230	2.36084
PS192500	PS608583	2.35381
PS601144	PS608567	2.34929
PS113900	PS604772	2.34729
PS244400	PS607594	2.34584
PS187300	PS231200	2.33785
PS132400	PS607326	2.33694
PS218330	PS268310	2.33621
PS224690	PS601390	2.33619
PS168600	PS213600	2.32364
PS113900	PS601144	2.31543
PS202700	PS308230	2.31281
PS277600	PS609192	2.29944
PS178600	PS265450	2.29936
PS134600	PS300009	2.29507
PS107970	PS604169	2.2926
PS131100	PS191100	2.29179
PS266600	PS308230	2.28698
PS192500	PS604772	2.28278
PS308240	PS601495	2.28146
PS107970	PS601144	2.28122
PS277300	PS607326	2.2714
PS259900	PS603278	2.26984
PS266600	PS601495	2.2665
PS114580	PS266600	2.26585
PS105400	PS105550	2.26469
PS192500	PS608567	2.26028
PS220400	PS601144	2.25928
PS256100	PS300009	2.24354
PS242860	PS607594	2.24292
PS256100	PS256300	2.241
PS192600	PS604169	2.23821
PS133100	PS188050	2.23438
PS253600	PS609308	2.23171
PS151100	PS163950	2.22914
PS105550	PS234200	2.22096
PS134600	PS193100	2.21796
PS105250	PS142690	2.21785
PS224690	PS268310	2.21682
PS256100	PS266900	2.21561
PS306955	PS608808	2.21548
PS300009	PS601678	2.2136
PS108720	PS601390	2.20551
PS108720	PS200600	2.20184
PS200600	PS228520	2.2016
PS300009	PS602014	2.20079
PS200600	PS607326	2.19182
PS108720	PS273750	2.18987
PS168600	PS234200	2.18242
PS248370	PS608594	2.18037
PS168000	PS610489	2.17977
PS167200	PS191100	2.17964
PS145980	PS602014	2.17921
PS159000	PS253600	2.17897
PS211400	PS306400	2.17801
PS108600	PS164400	2.17516
PS306400	PS614372	2.17465
PS108720	PS228520	2.17458
PS215100	PS251450	2.17318
PS120435	PS266600	2.17038
PS105550	PS168600	2.16822
PS600118	PS601390	2.16228
PS122470	PS601390	2.15595
PS211400	PS244400	2.15387
PS108800	PS606215	2.15318
PS201000	PS601390	2.15285
PS256300	PS259900	2.14979
PS122470	PS239300	2.14967
PS133780	PS136520	2.14588
PS239300	PS268310	2.14461
PS108720	PS268310	2.14362
PS202700	PS308240	2.13414
PS201000	PS609192	2.13282
PS268310	PS277600	2.13168
PS187300	PS265450	2.13115
PS115150	PS151100	2.12876
PS607432	PS614039	2.12829
PS606215	PS614429	2.12823
PS107970	PS113900	2.12407
PS113900	PS220400	2.12257
PS107970	PS192600	2.11984
PS107970	PS608567	2.11908
PS268310	PS609192	2.1183
PS107970	PS604772	2.11814
PS108720	PS215100	2.11788
PS201000	PS277600	2.11654
PS604169	PS614429	2.11516
PS257920	PS601390	2.11454
PS604169	PS609620	2.10986
PS211400	PS607594	2.10639
PS218330	PS601390	2.10197
PS248370	PS268310	2.1013
PS180849	PS268310	2.09611
PS602014	PS612286	2.0932
PS220400	PS604772	2.09125
PS268310	PS600118	2.08952
PS604169	PS608583	2.08884
PS187300	PS600630	2.0864
PS224120	PS607765	2.08514
PS151100	PS268310	2.08387
PS133780	PS187300	2.08017
PS122470	PS147920	2.07956
PS177900	PS306400	2.07764
PS105550	PS157640	2.07692
PS159000	PS609308	2.0757
PS153840	PS268000	2.07392
PS210600	PS268310	2.0724
PS156610	PS243310	2.07232
PS159000	PS601419	2.07109
PS259900	PS612286	2.06136
PS142690	PS308230	2.06102
PS132400	PS251450	2.05738
PS252350	PS607086	2.05737
PS228520	PS273750	2.05574
PS162000	PS259900	2.0557
PS142690	PS601495	2.05518
PS193500	PS203300	2.05328
PS224120	PS308240	2.05242
PS133780	PS165500	2.05168
PS224120	PS306400	2.05013
PS122470	PS201000	2.04897
PS231050	PS277600	2.04879
PS115150	PS147920	2.04824
PS601390	PS614080	2.04766
PS114580	PS308230	2.04684
PS145980	PS601678	2.04298
PS244400	PS308230	2.04184
PS177900	PS266600	2.04058
PS108720	PS186500	2.03686
PS211400	PS308230	2.03684
PS304500	PS609129	2.03541
PS100300	PS187300	2.03471
PS147950	PS233300	2.03378
PS308240	PS607594	2.03188
PS168000	PS175100	2.0317
PS208500	PS224690	2.03104
PS257920	PS268310	2.02765
PS214150	PS600118	2.02745
PS202700	PS601495	2.02638
PS147920	PS609192	2.02637
PS239300	PS601390	2.02227
PS122470	PS257920	2.01945
PS309800	PS600118	2.01781
PS308230	PS614372	2.01588
PS122470	PS277600	2.01353
PS268310	PS614080	2.0129
PS306955	PS614429	2.01109
PS133780	PS204000	2.00982
PS202200	PS256450	2.00692
PS108720	PS251450	2.00524
PS167200	PS305100	2.00431
PS306400	PS610799	2.00209
PS115210	PS604169	2.00026
PS251450	PS277600	1.99639
PS145260	PS208000	1.9958
PS156610	PS268310	1.99554
PS159000	PS254130	1.99381
PS107250	PS136520	1.99319
PS187300	PS188050	1.99164
PS201000	PS218330	1.99104
PS192600	PS608583	1.99102
PS244400	PS306400	1.99095
PS136520	PS204000	1.98858
PS208085	PS607765	1.98816
PS122470	PS300000	1.98808
PS604772	PS608567	1.98765
PS101800	PS268310	1.98757
PS122470	PS214150	1.98483
PS192600	PS609620	1.9841
PS601495	PS614372	1.98389
PS122470	PS187300	1.98344
PS175100	PS191100	1.9834
PS147920	PS268310	1.98249
PS164400	PS224050	1.98203
PS242860	PS601495	1.97927
PS161800	PS211530	1.97925
PS159000	PS160565	1.97872
PS213600	PS234200	1.97801
PS113900	PS604169	1.97782
PS256100	PS259900	1.9775
PS178600	PS187300	1.97684
PS242860	PS306400	1.97611
PS308230	PS607765	1.97177
PS202200	PS610489	1.97177
PS108720	PS201000	1.97102
PS118450	PS208085	1.96881
PS115150	PS163950	1.96528
PS214150	PS268310	1.96283
PS251450	PS607326	1.96196
PS133780	PS268000	1.96076
PS167200	PS242300	1.96024
PS607594	PS614372	1.95898
PS601678	PS602014	1.95865
PS243310	PS257920	1.95788
PS603387	PS607432	1.95768
PS214150	PS601390	1.9573
PS251450	PS268310	1.95706
PS268310	PS273750	1.95341
PS192500	PS604169	1.95319
PS109730	PS614429	1.95239
PS604169	PS608567	1.95089
PS187300	PS252350	1.9504
PS251450	PS601390	1.9495
PS222470	PS607765	1.94634
PS236670	PS613155	1.94532
PS108720	PS277300	1.94505
PS215100	PS277600	1.94058
PS131100	PS175100	1.94041
PS210600	PS601390	1.93971
PS300000	PS601390	1.93891
PS108720	PS166200	1.93872
PS131100	PS145980	1.93872
PS210600	PS600118	1.93823
PS208500	PS601390	1.93564
PS122470	PS609192	1.93562
PS186500	PS607326	1.93534
PS108300	PS133780	1.93468
PS108720	PS132400	1.9346
PS153840	PS165500	1.93441
PS218330	PS257920	1.93304
PS601144	PS604772	1.93133
PS277600	PS601390	1.93017
PS145260	PS211400	1.93013
PS133100	PS231200	1.92886
PS153840	PS204000	1.92748
PS115200	PS192600	1.92719
PS242860	PS244400	1.92718
PS208000	PS604169	1.92697
PS147920	PS201000	1.92309
PS100300	PS122470	1.92258
PS107250	PS136800	1.92153
PS108800	PS109730	1.92089
PS176670	PS248370	1.92066
PS608808	PS614429	1.91764
PS601495	PS607765	1.91738
PS156610	PS601390	1.91432
PS158350	PS168000	1.91416
PS228520	PS607326	1.91267
PS118100	PS151100	1.91221
PS122470	PS231050	1.91035
PS101800	PS251450	1.90966
PS166200	PS607326	1.90807
PS231200	PS277450	1.9078
PS122470	PS218330	1.90678
PS220210	PS268310	1.90604
PS175780	PS187300	1.90555
PS154500	PS602483	1.90497
PS268310	PS300000	1.90458
PS108800	PS306955	1.90415
PS187300	PS610489	1.90377
PS601144	PS604169	1.903
PS200600	PS277300	1.90288
PS105650	PS300751	1.90201
PS215100	PS601390	1.89949
PS164400	PS168600	1.89938
PS236670	PS251270	1.89855
PS266900	PS603278	1.8978
PS122470	PS243310	1.89662
PS309510	PS600118	1.89466
PS188050	PS277450	1.89411
PS236730	PS256100	1.89381
PS101800	PS277600	1.89291
PS243310	PS601390	1.89253
PS607594	PS610799	1.89227
PS165500	PS310700	1.88951
PS208500	PS251450	1.88779
PS601390	PS602483	1.88713
PS173900	PS256100	1.88704
PS114580	PS177900	1.88653
PS609308	PS610542	1.88568
PS107970	PS115200	1.88331
PS151100	PS201000	1.88272
PS122470	PS180849	1.8821
PS109730	PS182250	1.87979
PS108800	PS608808	1.87951
PS201000	PS257920	1.87916
PS158350	PS175100	1.87823
PS224120	PS308230	1.87811
PS158350	PS268310	1.87751
PS160565	PS253600	1.87748
PS193500	PS203100	1.87646
PS239300	PS300000	1.87601
PS252150	PS600118	1.87522
PS108720	PS277600	1.87307
PS160120	PS164400	1.87255
PS108720	PS224690	1.87254
PS159000	PS310300	1.872
PS257300	PS601390	1.87062
PS236730	PS300633	1.87006
PS243310	PS268310	1.87001
PS252150	PS603041	1.86975
PS113900	PS192600	1.86944
PS231050	PS609192	1.86766
PS118100	PS277300	1.86705
PS108800	PS604169	1.86668
PS108600	PS224050	1.86663
PS243310	PS600118	1.86529
PS107250	PS122000	1.86485
PS101800	PS108720	1.8641
PS145980	PS259900	1.86166
PS236670	PS614039	1.86143
PS215100	PS600118	1.86138
PS109730	PS608808	1.86061
PS160565	PS601419	1.8598
PS265120	PS265450	1.85869
PS109730	PS604169	1.85739
PS175100	PS266600	1.85675
PS108720	PS208500	1.85623
PS211400	PS601495	1.85602
PS251270	PS600118	1.85478
PS147920	PS239300	1.85377
PS234200	PS256730	1.85351
PS131100	PS275200	1.85346
PS132400	PS200600	1.85336
PS192500	PS192600	1.85209
PS157640	PS601419	1.85177
PS268310	PS602483	1.85123
PS268310	PS607014	1.85108
PS105550	PS164400	1.85085
PS201000	PS224690	1.84885
PS164400	PS234200	1.84885
PS224690	PS273750	1.84853
PS151623	PS191100	1.84826
PS123100	PS190440	1.84754
PS603278	PS612286	1.84619
PS214150	PS215100	1.84521
PS128100	PS168600	1.8438
PS145980	PS306400	1.84203
PS306955	PS606215	1.84145
PS601678	PS612286	1.84102
PS151100	PS609192	1.84025
PS193100	PS300009	1.83983
PS104290	PS168600	1.83908
PS600118	PS614080	1.83789
PS252150	PS614080	1.8352
PS215100	PS268310	1.83392
PS108720	PS122470	1.83372
PS147920	PS601390	1.8316
PS108720	PS214150	1.83104
PS108720	PS118100	1.82866
PS607014	PS609192	1.82792
PS300633	PS400044	1.8278
PS163950	PS268310	1.82749
PS218330	PS248370	1.82706
PS273750	PS601390	1.82628
PS108800	PS607086	1.826
PS268310	PS309800	1.82573
PS115150	PS309801	1.82573
PS220400	PS608583	1.82573
PS208500	PS268310	1.82495
PS214700	PS607765	1.82467
PS214150	PS256520	1.82447
PS276700	PS300009	1.82311
PS132400	PS215100	1.82308
PS156610	PS256520	1.82209
PS231050	PS268310	1.82206
PS192600	PS608567	1.82144
PS214150	PS257920	1.82142
PS136520	PS165500	1.82062
PS114580	PS601495	1.81996
PS308230	PS610799	1.81877
PS239300	PS243310	1.81775
PS208500	PS607326	1.81774
PS161050	PS605389	1.81761
PS115150	PS268310	1.81753
PS108600	PS234200	1.81738
PS162000	PS193000	1.81724
PS604169	PS608808	1.81718
PS164400	PS312080	1.81702
PS147920	PS257920	1.81641
PS145980	PS235200	1.81532
PS156610	PS602483	1.81522
PS306955	PS604169	1.81502
PS187300	PS607765	1.81497
PS105550	PS256730	1.81474
PS211400	PS265450	1.81387
PS151100	PS601390	1.81377
PS202700	PS607594	1.81249
PS100300	PS609192	1.8108
PS187300	PS300000	1.80859
PS604169	PS606215	1.80847
PS251200	PS607432	1.80798
PS118100	PS273750	1.80766
PS108600	PS160120	1.80736
PS186500	PS272430	1.80713
PS122470	PS135900	1.80649
PS201000	PS220210	1.80632
PS151100	PS277600	1.80617
PS236670	PS600118	1.80545
PS236730	PS603278	1.80513
PS203100	PS214450	1.80501
PS187300	PS270300	1.80463
PS142690	PS614372	1.80392
PS266600	PS607765	1.80226
PS200600	PS251450	1.80054
PS156610	PS214150	1.79968
PS234200	PS312080	1.7995
PS239300	PS257920	1.79942
PS312080	PS607596	1.7992
PS607086	PS609192	1.79822
PS158350	PS224690	1.79762
PS122470	PS210600	1.79717
PS180849	PS601390	1.79702
PS253600	PS610542	1.7961
PS128100	PS234200	1.79608
PS268310	PS309510	1.7955
PS118450	PS187300	1.795
PS265450	PS609620	1.79478
PS147920	PS243310	1.79262
PS104290	PS213600	1.79261
PS257300	PS268310	1.79209
PS236670	PS607432	1.79209
PS211530	PS601462	1.79136
PS122470	PS600118	1.79107
PS122470	PS151100	1.7905
PS180849	PS239300	1.79024
PS211400	PS614372	1.7883
PS158600	PS253600	1.78815
PS251600	PS600165	1.78783
PS107250	PS229200	1.78609
PS601390	PS609192	1.78497
PS218330	PS609192	1.78461
PS115150	PS601390	1.78381
PS136800	PS229200	1.78336
PS134600	PS259900	1.78276
PS166200	PS215100	1.78103
PS268310	PS608594	1.7805
PS201000	PS214150	1.78028
PS101800	PS215100	1.78014
PS156610	PS239300	1.78008
PS224690	PS600118	1.7789
PS187300	PS607594	1.77877
PS257920	PS277600	1.77875
PS151100	PS243310	1.77867
PS256300	PS266900	1.77847
PS201000	PS208500	1.77822
PS607596	PS614039	1.7782
PS118450	PS173900	1.77795
PS115150	PS609192	1.77781
PS201000	PS600118	1.77766
PS160565	PS609308	1.7775
PS309510	PS601390	1.77674
PS158350	PS167200	1.77567
PS236730	PS259900	1.77514
PS108600	PS168600	1.77504
PS214150	PS251450	1.77463
PS166200	PS277600	1.77382
PS120100	PS306400	1.77057
PS108600	PS312080	1.7702
PS607014	PS608594	1.76996
PS162000	PS612286	1.76971
PS256520	PS601390	1.76953
PS118220	PS158600	1.76717
PS604004	PS607432	1.76561
PS115150	PS122470	1.76398
PS156610	PS257920	1.76375
PS183600	PS607326	1.76265
PS257300	PS600118	1.7625
PS133780	PS203300	1.76243
PS114580	PS607594	1.76224
PS224050	PS234200	1.7616
PS147920	PS214150	1.76076
PS122470	PS614080	1.76056
PS233300	PS400044	1.76007
PS147920	PS187300	1.75806
PS256300	PS601678	1.75793
PS147920	PS277600	1.75662
PS118220	PS601419	1.7563
PS266900	PS300009	1.75321
PS136520	PS268000	1.7517
PS192600	PS601144	1.75139
PS224050	PS312080	1.75108
PS600118	PS601675	1.7507
PS243310	PS256520	1.74975
PS310300	PS609308	1.74931
PS115210	PS614429	1.74881
PS105550	PS211530	1.74806
PS218330	PS277600	1.74793
PS183600	PS185800	1.74728
PS236730	PS300009	1.74709
PS112240	PS123100	1.74697
PS115150	PS600118	1.74654
PS122000	PS229200	1.74552
PS609308	PS613155	1.74523
PS248370	PS601390	1.74508
PS243310	PS273750	1.74483
PS118100	PS163950	1.74417
PS187300	PS231050	1.74397
PS178600	PS265120	1.74386
PS163950	PS201000	1.7431
PS147920	PS151100	1.74287
PS120100	PS187300	1.74276
PS253600	PS310300	1.74157
PS107250	PS300345	1.74135
PS193000	PS603278	1.74085
PS201000	PS251450	1.73997
PS115150	PS243310	1.73979
PS175780	PS614039	1.73977
PS601495	PS610799	1.73907
PS208000	PS252350	1.73775
PS300751	PS614675	1.73769
PS100300	PS268310	1.73745
PS208500	PS228520	1.73733
PS104290	PS128100	1.7364
PS200600	PS273750	1.73536
PS256520	PS268310	1.73535
PS118100	PS243310	1.73437
PS112240	PS601390	1.73429
PS108800	PS115210	1.73427
PS225750	PS312080	1.73196
PS256300	PS612286	1.73176
PS253600	PS254130	1.73064
PS186500	PS251450	1.73059
PS145260	PS601678	1.72998
PS115200	PS609620	1.72966
PS166200	PS251450	1.72942
PS201000	PS248370	1.72867
PS200600	PS224690	1.72748
PS254130	PS609308	1.72736
PS154500	PS156610	1.72723
PS180849	PS210600	1.72519
PS186500	PS277300	1.72481
PS200600	PS208500	1.72468
PS100300	PS220210	1.72436
PS145260	PS145980	1.72395
PS122470	PS251450	1.72369
PS158600	PS159000	1.72237
PS101800	PS601390	1.72224
PS224690	PS607326	1.72088
PS168600	PS254800	1.71968
PS239300	PS252150	1.71938
PS165500	PS204000	1.71936
PS243310	PS607432	1.71932
PS208000	PS609620	1.71899
PS235200	PS607765	1.71869
PS151100	PS214150	1.71666
PS154500	PS268310	1.7166
PS166200	PS248370	1.71654
PS214150	PS243310	1.71632
PS160150	PS613155	1.71627
PS187950	PS231200	1.71623
PS142690	PS607594	1.71581
PS158600	PS160565	1.71557
PS180849	PS251450	1.71511
PS135900	PS243310	1.71423
PS131100	PS610489	1.71371
PS134600	PS603278	1.71265
PS266600	PS607594	1.71206
PS208085	PS268310	1.71147
PS241550	PS614429	1.71139
PS162000	PS236730	1.71082
PS254130	PS310300	1.71079
PS251450	PS273750	1.71062
PS266600	PS614372	1.71061
PS250950	PS603041	1.71053
PS607596	PS613155	1.70954
PS164400	PS254800	1.70923
PS234200	PS303350	1.7085
PS114580	PS308240	1.70798
PS115210	PS192600	1.70789
PS213600	PS254800	1.70719
PS604004	PS614039	1.70695
PS108720	PS272430	1.70689
PS210600	PS214150	1.70617
PS161800	PS610542	1.70584
PS180849	PS248370	1.70567
PS158350	PS608594	1.70547
PS101800	PS132400	1.7053
PS158350	PS601390	1.70463
PS159000	PS161800	1.70452
PS156610	PS180849	1.70375
PS147920	PS309801	1.70356
PS248370	PS251450	1.70349
PS220400	PS608567	1.70339
PS239300	PS257300	1.70234
PS132400	PS183600	1.70191
PS200600	PS215100	1.70152
PS135500	PS135900	1.70111
PS164400	PS256730	1.70107
PS215100	PS224690	1.70095
PS211530	PS613155	1.70057
PS241550	PS604169	1.70013
PS208085	PS608594	1.69984
PS115200	PS115210	1.69955
PS228520	PS601390	1.69923
PS108720	PS112240	1.69882
PS201000	PS273750	1.69821
PS215100	PS273750	1.69784
PS242860	PS257300	1.69777
PS108800	PS241550	1.6977
PS187300	PS309801	1.69755
PS259900	PS266900	1.6968
PS251600	PS300345	1.69613
PS163950	PS220210	1.69545
PS214150	PS239300	1.69532
PS132400	PS186500	1.69463
PS268310	PS269500	1.69434
PS193000	PS256100	1.69423
PS151100	PS257920	1.69418
PS603387	PS614039	1.69367
PS108720	PS218330	1.6933
PS104290	PS164400	1.69283
PS151100	PS273750	1.6928
PS201000	PS607014	1.69245
PS133780	PS203100	1.69238
PS109730	PS115210	1.692
PS239300	PS251450	1.69128
PS166200	PS273750	1.69118
PS101800	PS210600	1.69096
PS300000	PS614080	1.69067
PS224690	PS251450	1.6901
PS108720	PS180849	1.68959
PS201000	PS614080	1.68913
PS105550	PS108600	1.68903
PS300009	PS300633	1.68893
PS147920	PS614080	1.68882
PS309800	PS601390	1.68796
PS257920	PS600118	1.68795
PS236100	PS243310	1.6879
PS204000	PS268000	1.68722
PS166200	PS268310	1.68693
PS244400	PS614372	1.68564
PS193000	PS300633	1.68417
PS161800	PS601462	1.68369
PS218330	PS300000	1.68352
PS112240	PS268310	1.68348
PS228520	PS251450	1.68309
PS161800	PS609308	1.68256
PS115150	PS614080	1.68256
PS112240	PS166200	1.68245
PS108720	PS231050	1.68194
PS135500	PS268310	1.68032
PS118220	PS161800	1.67988
PS178600	PS608567	1.67961
PS243310	PS257300	1.67955
PS265450	PS608583	1.67949
PS157600	PS614742	1.6792
PS252150	PS312080	1.67866
PS187300	PS606215	1.67832
PS180849	PS277600	1.67769
PS115200	PS208000	1.67756
PS160565	PS610542	1.67755
PS214150	PS277600	1.67728
PS108720	PS256520	1.67717
PS231050	PS251450	1.67701
PS243310	PS251270	1.67691
PS210600	PS256520	1.6767
PS248600	PS605711	1.6765
PS187300	PS191100	1.6753
PS208500	PS277600	1.67447
PS145980	PS603278	1.67443
PS122470	PS607014	1.67401
PS173900	PS187300	1.67395
PS132400	PS185800	1.67387
PS105400	PS234200	1.67347
PS224050	PS256730	1.67345
PS265450	PS610799	1.67284
PS100300	PS309801	1.67175
PS133780	PS251270	1.67161
PS215100	PS607326	1.67122
PS210600	PS218330	1.67103
PS214150	PS272430	1.67064
PS239300	PS600118	1.67021
PS161800	PS253600	1.67012
PS118100	PS122470	1.66928
PS218330	PS224690	1.66911
PS108300	PS601390	1.66896
PS147920	PS600118	1.66893
PS100300	PS218330	1.66892
PS188050	PS231200	1.66831
PS208500	PS218330	1.66822
PS163950	PS609192	1.66781
PS242860	PS602483	1.66751
PS214150	PS609192	1.66734
PS151660	PS158350	1.66729
PS156610	PS257300	1.66699
PS157640	PS211530	1.6655
PS122470	PS256520	1.66548
PS214150	PS224690	1.66524
PS220210	PS609192	1.66519
PS201000	PS208085	1.66508
PS167200	PS605389	1.66464
PS104290	PS175780	1.66454
PS228520	PS268310	1.66427
PS158350	PS309800	1.66367
PS151660	PS187300	1.66341
PS306400	PS608594	1.66303
PS118100	PS268310	1.66295
PS214150	PS257300	1.66262
PS147950	PS233400	1.66238
PS122470	PS220210	1.66201
PS159000	PS160150	1.66201
PS160150	PS161800	1.66165
PS201000	PS309800	1.66128
PS115200	PS608583	1.66061
PS163950	PS243310	1.66024
PS236730	PS306400	1.65883
PS208500	PS231050	1.65881
PS164400	PS213600	1.65881
PS604169	PS604772	1.65832
PS603387	PS604004	1.65832
PS122470	PS215100	1.65774
PS135700	PS165500	1.65772
PS225750	PS607596	1.65759
PS222470	PS601675	1.65704
PS153840	PS310700	1.65665
PS187300	PS265120	1.65654
PS101800	PS607326	1.65642
PS100300	PS201000	1.65587
PS236100	PS239300	1.65586
PS157640	PS160150	1.65566
PS273750	PS277300	1.6551
PS218330	PS607014	1.65504
PS135900	PS305100	1.6549
PS131100	PS151623	1.65468
PS210600	PS224690	1.65387
PS151100	PS218330	1.65382
PS159000	PS610542	1.65193
PS607432	PS607596	1.65169
PS258150	PS400044	1.65153
PS121210	PS600513	1.65123
PS211400	PS242860	1.65003
PS156610	PS600118	1.65002
PS101800	PS208500	1.64975
PS166200	PS601390	1.64967
PS122470	PS272430	1.64953
PS165500	PS251270	1.64948
PS277300	PS607594	1.64852
PS163950	PS277600	1.64763
PS136520	PS600165	1.64689
PS273750	PS277600	1.64628
PS158600	PS601419	1.64625
PS154500	PS601390	1.64605
PS192500	PS265450	1.64534
PS168600	PS224050	1.64482
PS142690	PS211400	1.64454
PS601390	PS607014	1.64433
PS610799	PS614372	1.64407
PS115150	PS135900	1.64268
PS208500	PS607014	1.64257
PS147920	PS163950	1.64253
PS234200	PS607596	1.64227
PS606215	PS607086	1.64189
PS208000	PS608583	1.64184
PS134600	PS256300	1.64174
PS201000	PS215100	1.64126
PS101800	PS122470	1.64122
PS236670	PS243310	1.64105
PS208000	PS265450	1.64075
PS187300	PS218330	1.64055
PS227650	PS268310	1.64021
PS252150	PS601390	1.63958
PS132400	PS231050	1.63939
PS135500	PS243310	1.63937
PS122470	PS135500	1.63867
PS187300	PS268310	1.6384
PS259900	PS276700	1.63824
PS191100	PS610489	1.6375
PS115200	PS192500	1.63658
PS210600	PS251270	1.63627
PS254130	PS601419	1.63601
PS224690	PS602483	1.63585
PS109730	PS241550	1.63571
PS231200	PS610489	1.63515
PS124900	PS220290	1.63501
PS259700	PS306400	1.63489
PS145980	PS211400	1.63378
PS187300	PS603387	1.6336
PS160150	PS601462	1.63358
PS105550	PS312080	1.63343
PS604004	PS607596	1.63321
PS600118	PS607596	1.63294
PS162000	PS266900	1.63249
PS135500	PS305100	1.63226
PS272430	PS601390	1.63224
PS257920	PS609192	1.63193
PS147920	PS218330	1.6319
PS273750	PS607326	1.63179
PS167200	PS177900	1.63165
PS135700	PS160150	1.63152
PS151660	PS208085	1.63144
PS310300	PS610542	1.63102
PS160150	PS160565	1.63097
PS251270	PS614039	1.6305
PS600513	PS604233	1.63026
PS312080	PS614039	1.63023
PS118220	PS303350	1.62955
PS108720	PS248370	1.62932
PS122470	PS156610	1.6293
PS218330	PS269500	1.62851
PS156610	PS236100	1.62837
PS122470	PS257300	1.62679
PS161800	PS272430	1.62635
PS135900	PS147920	1.62634
PS160120	PS213600	1.62627
PS131100	PS613038	1.62601
PS132400	PS208500	1.62595
PS136520	PS310700	1.62561
PS201000	PS231050	1.6251
PS254800	PS604233	1.62474
PS176670	PS187300	1.62465
PS220210	PS600118	1.62451
PS244400	PS265120	1.62421
PS107250	PS116200	1.62404
PS115150	PS277600	1.62388
PS176670	PS208000	1.62365
PS100300	PS147920	1.62297
PS193500	PS214450	1.6218
PS121200	PS600513	1.62144
PS167200	PS175800	1.62103
PS158350	PS275200	1.6203
PS101800	PS201000	1.62022
PS236670	PS607596	1.62022
PS257300	PS614080	1.6202
PS253600	PS613155	1.61888
PS220210	PS601390	1.6186
PS215100	PS239300	1.61841
PS224050	PS254800	1.61795
PS277300	PS306400	1.61716
PS145980	PS308230	1.61716
PS160120	PS165500	1.61709
PS224690	PS300000	1.61677
PS192500	PS208000	1.61616
PS210600	PS215100	1.61595
PS210600	PS614080	1.61572
PS239300	PS614080	1.61546
PS105650	PS133100	1.61532
PS300345	PS600165	1.61446
PS236730	PS256300	1.61398
PS105550	PS303350	1.61397
PS160150	PS601419	1.61385
PS105400	PS211530	1.6134
PS158600	PS610542	1.61337
PS108800	PS208000	1.61325
PS600118	PS614039	1.61243
PS215100	PS257300	1.61236
PS118220	PS253600	1.61221
PS220210	PS309800	1.61199
PS210600	PS309510	1.6119
PS178600	PS614742	1.61148
PS160120	PS224050	1.61112
PS118100	PS201000	1.61099
PS208500	PS609192	1.61065
PS164400	PS211530	1.61035
PS214150	PS309510	1.61023
PS178600	PS609620	1.61017
PS242860	PS268310	1.60997
PS248370	PS607014	1.60966
PS115150	PS220210	1.60947
PS112240	PS243310	1.60943
