PS_i	PS_j	Sim_BP	Sim_CC	Sim_MF	Sim_GO_max
PS107970	PS113900	2.86922	0.60688	0.28392	2.86922
PS239300	PS614080	2.86895	1.42827	1.23798	2.86895
PS604233	PS609620	2.86661	1.39605	2.36097	2.86661
PS160120	PS609620	2.35035	1.18929	2.85631	2.85631
PS601764	PS609620	2.85293	1.41461	2.2844	2.85293
PS248600	PS259900	2.84798	1.06297	0.81127	2.84798
PS121200	PS211400	1.55177	1.34968	2.84543	2.84543
PS153840	PS175780	0.52158	1.47089	2.84217	2.84217
PS160120	PS211400	1.61236	1.30144	2.83682	2.83682
PS113900	PS211400	1.97973	1.33038	2.82806	2.82806
PS220400	PS613280	1.65001	0.70089	2.82565	2.82565
PS100300	PS614429	2.82175	0.49999	0.14837	2.82175
PS608583	PS615040	2.81496	1.37377	2.33252	2.81496
PS160120	PS601678	1.2955	1.09656	2.81058	2.81058
PS241550	PS614429	2.79886	0.8274	0.15578	2.79886
PS601678	PS615040	1.82656	1.4111	2.79613	2.79613
PS104290	PS604772	2.75676	0.99169	0.49051	2.75676
PS158810	PS228520	2.06809	2.75467	0.27785	2.75467
PS228520	PS254090	1.88938	2.75467	0.27785	2.75467
PS256520	PS276700	2.74692	1.07413	0.43535	2.74692
PS604233	PS608583	2.74692	1.36163	2.13536	2.74692
PS120100	PS308230	2.73664	0.42768	0.27178	2.73664
PS187300	PS609192	2.72998	0.74111	2.44344	2.72998
PS168000	PS309801	2.47097	2.72374	0.42696	2.72374
PS105250	PS266600	1.17132	1.08825	2.72132	2.72132
PS252150	PS312170	2.72083	0.60405	0.8367	2.72083
PS249000	PS266900	1.93424	2.71634	0.44408	2.71634
PS211400	PS220400	2.24952	1.60275	2.71606	2.71606
PS107970	PS608567	2.71356	0.60261	0.23457	2.71356
PS601764	PS608583	2.70335	1.65379	2.05052	2.70335
PS220400	PS601678	2.37057	1.3995	2.69719	2.69719
PS168000	PS312170	2.69615	1.8294	1.1987	2.69615
PS187300	PS614429	2.69499	0.08097	0.19555	2.69499
PS121210	PS608583	2.68957	1.50749	2.08002	2.68957
PS121200	PS601678	2.16826	1.28701	2.68484	2.68484
PS109730	PS614429	2.67783	1.02776	1.71262	2.67783
PS268310	PS609192	2.67661	1.26537	1.03577	2.67661
PS211400	PS600513	1.42537	1.98255	2.67614	2.67614
PS259900	PS276700	2.67565	0.89156	0.66162	2.67565
PS107970	PS608583	2.66827	1.39325	0.18252	2.66827
PS609192	PS614429	2.6653	0.64529	0.37369	2.6653
PS268310	PS614429	2.66416	0.65236	0.62898	2.66416
PS248600	PS276700	2.66411	0.49318	0.86377	2.66411
PS104290	PS615040	2.66375	1.22135	1.33331	2.66375
PS104290	PS192500	2.66182	1.5735	0.90481	2.66182
PS210200	PS312170	2.65608	2.07078	0.67401	2.65608
PS160120	PS602014	1.43189	0.76246	2.65449	2.65449
PS175800	PS312170	2.6478	0.50942	0.8367	2.6478
PS121210	PS601678	1.95763	1.54535	2.64753	2.64753
PS231050	PS277600	2.20569	2.6391	0.82994	2.6391
PS211400	PS601678	2.6382	1.36701	2.27486	2.6382
PS108800	PS241550	2.63773	0.69602	0.17309	2.63773
PS257920	PS614372	2.63295	1.3699	1.97943	2.63295
PS237450	PS601678	1.10535	1.09128	2.62807	2.62807
PS214100	PS215100	2.62741	2.14926	0.22931	2.62741
PS104290	PS121210	2.62428	1.45194	1.47304	2.62428
PS211530	PS601764	0.80026	1.23199	2.61245	2.61245
PS211530	PS613280	1.39417	1.06279	2.61245	2.61245
PS211530	PS615040	0.69832	1.43535	2.61245	2.61245
PS115210	PS604169	2.60851	2.15414	1.29749	2.60851
PS115150	PS151100	2.59664	0.73946	2.21486	2.59664
PS606215	PS609192	2.59359	0.78811	0.57497	2.59359
PS187300	PS606215	2.5913	0.32028	0.24163	2.5913
PS185800	PS187300	2.58762	0.89756	1.37199	2.58762
PS186500	PS187300	2.58762	0.89756	1.37199	2.58762
PS211400	PS613280	2.32518	0.77982	2.58699	2.58699
PS218330	PS266900	1.59706	2.57775	0.35186	2.57775
