PS_i	PS_j	Sim_BP	Sim_CC	Sim_MF	Sim_GO_max
PS151623	PS613038	1.35527	0.56693	0.50912	1.35527
PS115210	PS270300	1.35519	0.50903	0.33326	1.35519
PS308230	PS607765	1.35516	0.52553	0.60291	1.35516
PS108800	PS235200	1.35502	0.37703	0.17799	1.35502
PS160150	PS191100	1.35487	0.81036	0.34112	1.35487
PS601390	PS607086	1.35465	0.27708	0.46003	1.35465
PS256450	PS308230	1.35453	0.77816	0.32117	1.35453
PS147920	PS614429	1.19922	1.35435	0.88548	1.35435
PS266900	PS601419	0.82225	1.35428	0.37491	1.35428
PS163950	PS194070	1.35419	0.43288	0.87212	1.35419
PS270300	PS308240	1.16192	0.71562	1.35413	1.35413
PS236100	PS308240	1.35403	0.62129	0.40896	1.35403
PS136760	PS241550	1.35393	0.31715	0.16742	1.35393
PS268310	PS601675	1.35384	0.79204	0.53077	1.35384
PS142690	PS173900	0.87606	1.35383	0.21294	1.35383
PS114580	PS133100	1.3537	0.81097	0.26389	1.3537
PS185800	PS607086	1.35367	0.43881	0.22236	1.35367
PS186500	PS607086	1.35367	0.43881	0.22236	1.35367
PS153100	PS604772	1.35363	0.68687	0.30575	1.35363
PS276900	PS604772	1.35343	0.67479	0.59529	1.35343
PS117550	PS154500	1.35342	0.82112	0.60075	1.35342
PS115150	PS214450	1.3533	1.27877	1.19118	1.3533
PS210200	PS215100	1.35302	1.33617	0.54357	1.35302
PS259700	PS610489	1.353	0.94364	0.40453	1.353
PS308350	PS604772	1.35299	0.79991	0.22931	1.35299
PS161800	PS609620	1.35286	0.30619	0.22956	1.35286
PS115150	PS277300	1.35281	0.32159	0.3582	1.35281
PS309801	PS610542	1.35276	0.8209	0.71999	1.35276
PS159000	PS187300	1.35266	0.18609	0.26987	1.35266
PS182250	PS610489	0.9914	0.37083	1.35261	1.35261
PS233300	PS309800	1.35261	0.39959	1.23738	1.35261
PS256730	PS306400	0.86737	1.35261	0.2446	1.35261
PS161800	PS220400	1.35239	0.34253	0.21112	1.35239
PS188050	PS191100	1.35232	0.48075	0.22255	1.35232
PS107970	PS108300	1.35219	0.68674	0.27227	1.35219
PS157640	PS165500	1.04564	1.35218	0.65548	1.35218
PS106600	PS266900	1.35213	0.31325	0.37491	1.35213
PS122470	PS123100	1.35212	0.99029	0.23174	1.35212
PS135900	PS275200	1.28503	0.82519	1.35202	1.35202
PS106600	PS156200	1.35186	0.33965	0.25964	1.35186
PS151100	PS156200	1.35184	0.46191	0.57075	1.35184
PS113900	PS209900	1.35181	0.61236	0.26389	1.35181
PS133780	PS253600	1.35177	0.62908	0.23229	1.35177
PS604772	PS607086	1.35176	0.90797	0.48042	1.35176
PS118100	PS277600	1.34455	1.35171	0.27795	1.35171
PS135900	PS194070	1.3517	0.94698	1.05761	1.3517
PS193100	PS237450	1.35159	0.87991	0.40894	1.35159
PS256300	PS601390	1.35148	0.51643	0.16742	1.35148
PS194070	PS253600	1.35145	0.53241	0.43281	1.35145
PS107250	PS601390	1.35128	0.14481	0.12878	1.35128
PS120435	PS160150	1.35127	0.77107	1.00648	1.35127
PS156200	PS241550	1.35114	0.64817	0.23658	1.35114
PS191100	PS214150	1.35113	0.97861	0.18667	1.35113
PS162000	PS213600	1.35107	1.00819	0.16667	1.35107
PS185800	PS610489	1.35101	0	0.25188	1.35101
PS186500	PS610489	1.35101	0	0.25188	1.35101
PS107970	PS601390	1.35076	0.37882	0.16742	1.35076
PS224050	PS268310	1.35074	0.63764	0.32826	1.35074
PS120100	PS603387	1.35069	0.45153	0.27178	1.35069
PS192500	PS607432	1.35066	0.43054	0.20944	1.35066
PS151660	PS600118	1.35065	0.80927	0.49934	1.35065
PS112240	PS203100	0.24241	1.35062	0.17471	1.35062
PS211530	PS600721	1.35058	0.08519	0	1.35058
PS212065	PS607765	1.35058	0.96391	0.76186	1.35058
PS161050	PS191100	1.35055	0.46797	0.20383	1.35055
PS133780	PS135900	1.35049	0.16618	0.20856	1.35049
PS122470	PS154500	0.80914	1.3504	0.22786	1.3504
PS253600	PS613038	1.35033	0.22959	0.1485	1.35033
PS210600	PS308230	1.35027	0.37425	0.55437	1.35027
PS220290	PS276900	1.35022	1.18269	0.30575	1.35022
PS135700	PS251200	1.35008	1.1222	0.21566	1.35008
PS191100	PS231050	1.34987	0	0.23174	1.34987
PS119530	PS610489	1.34978	0.70181	0.21839	1.34978
PS306400	PS601144	1.34978	0.93502	0.18063	1.34978
PS118220	PS178600	1.34969	0.75829	0.47424	1.34969
PS147950	PS607432	1.34967	0.31456	0.50959	1.34967
PS214150	PS607594	1.34961	0.64781	0.19863	1.34961
PS231200	PS308240	1.34952	0.70366	0.46263	1.34952
PS135900	PS210600	1.27454	1.34945	0.17633	1.34945
PS159000	PS178600	1.34939	0.54893	0.22236	1.34939
PS166200	PS241550	1.34937	0.33628	0.25964	1.34937
PS115210	PS175780	1.28073	1.34907	0.35399	1.34907
PS122470	PS183600	1.34904		0.30575	1.34904
PS272430	PS615952	1.34898	0.37709	1.33164	1.34898
PS112240	PS208085	0.14436	1.34893	0.35186	1.34893
PS220290	PS608583	1.34882	0.84085	0.13892	1.34882
PS115210	PS119530	1.34881	0.60864	0.37491	1.34881
PS119530	PS607594	1.34862	0.37694	0.30575	1.34862
PS104290	PS604169	1.34829	0.57062	0.52947	1.34829
PS173900	PS276900	1.14425	1.3482	0.22689	1.3482
PS204000	PS614429	1.34811	0.41337	0.15578	1.34811
PS187300	PS209900	1.34798	0.41297	0.30159	1.34798
PS251200	PS614388	1.34791	0.55855	0.33342	1.34791
PS115200	PS256300	1.34781	0.85905	0.30575	1.34781
PS115210	PS160150	1.14929	1.17478	1.34779	1.34779
PS169150	PS601764	0.70566	1.34778		1.34778
PS253310	PS609192	1.34771	0.77545	0.43272	1.34771
PS228520	PS607326	1.3477	0.48549	0.26207	1.3477
PS168600	PS188050	1.34752	0.5939	0.62089	1.34752
PS179850	PS613038	1.34748	0.33136	0.14715	1.34748
PS233400	PS610489	1.02911	0.38367	1.34746	1.34746
PS248600	PS607426	1.34742	1.28829	0.84591	1.34742
PS104290	PS193100	1.34738	1.02972	0.71185	1.34738
PS173900	PS272430	1.34738	0.5231	0.29848	1.34738
PS192600	PS273750	1.34737	1.15175	0.35186	1.34737
PS257300	PS273750	1.34726	1.17589	0.35186	1.34726
PS268310	PS600513	1.34723	0.82917	0.67139	1.34723
PS193500	PS231200	1.34711	0.31162	0.19473	1.34711
PS193100	PS259700	1.34687	0.75371	0.57597	1.34687
PS233400	PS276700	1.34686	0.53402	0.70429	1.34686
PS105400	PS187300	1.34679	0.2996	0.79966	1.34679
PS187950	PS613038	1.34673	0.19782	0.17887	1.34673
PS151623	PS185800	1.34667	0	0.68944	1.34667
PS151623	PS186500	1.34667	0	0.68944	1.34667
PS119530	PS122470	1.34647	0.93513	0.30575	1.34647
PS193900	PS251200	1.16784	1.34645	0	1.34645
PS201000	PS209900	1.34634	0.39881	0.33342	1.34634
PS168600	PS193500	1.34633	0.37133	0.51554	1.34633
PS118100	PS147950	1.34632	0.32784	0.30252	1.34632
PS185800	PS270300	1.34616	1.07238	0.32396	1.34616
PS186500	PS270300	1.34616	1.07238	0.32396	1.34616
PS265450	PS603278	1.34613	0.24393	0.54443	1.34613
PS123100	PS305100	1.3461	0.5611	0.21693	1.3461
PS108300	PS145260	1.34604	0.56828	0.31574	1.34604
PS135700	PS175780	1.135	1.346	0.19473	1.346
PS202200	PS248600	1.34599	0.31964	0.1264	1.34599
PS115150	PS601144	1.34598	0.7466	0.44615	1.34598
PS200600	PS236670	1.34598	0.74163	0.09567	1.34598
PS118220	PS187300	1.34591	0.37904	0.25707	1.34591
PS156610	PS257300	1.34573	1.24928	0.30575	1.34573
PS241550	PS601764	1.34572	0.30812	0	1.34572
PS115210	PS257300	0.731	1.34563	0.37491	1.34563
PS167250	PS213600	1.3456	0.68715	0.57733	1.3456
PS272430	PS309800	1.34557	0.53355	0.29379	1.34557
PS607594	PS610799	1.34556	0.2559	0.30575	1.34556
PS109730	PS265450	1.34542	0.29256	0.57831	1.34542
PS178600	PS308350	1.3454	0.93781	0.20383	1.3454
PS105250	PS308230	1.34528	0.75102	0.27768	1.34528
PS168600	PS241550	1.34525	0.4797	0.23758	1.34525
PS135900	PS183600	1.34523		0.20043	1.34523
PS142690	PS231200	1.19284	1.34522	0.20383	1.34522
PS243310	PS600118	1.34513	0.79623	0.45973	1.34513
PS273750	PS309800	1.34511	0.67734	0.2103	1.34511
PS193100	PS609620	1.34508	1.09389	0.34941	1.34508
PS300345	PS603278	1.34504	0.58024	0.45701	1.34504
PS259700	PS600513	1.34498	0.79168	0.34752	1.34498
PS124900	PS607432	1.34494	0.4757	0.50391	1.34494
PS145260	PS236100	1.34474	0.43111	0.43833	1.34474
PS213600	PS306955	1.34463	0.48233	0.16663	1.34463
PS193500	PS214450	1.34458	0.38655	0.50099	1.34458
PS107250	PS200600	1.34449	0.26921	0.17135	1.34449
PS120100	PS309800	1.34449	0.22197	0.77403	1.34449
PS107970	PS167200	1.34446	0.81437	0.27768	1.34446
PS131100	PS604772	1.34441	0.83324	0.20019	1.34441
PS115150	PS182250	1.34417	0.42296	1.21017	1.34417
PS256300	PS275200	1.3441	0.29587	0.17167	1.3441
PS133780	PS603278	1.34401	0.55542	0.28964	1.34401
PS120435	PS187950	1.34394	0.42433	0.21637	1.34394
PS118450	PS615040	0.65155	1.3438	0	1.3438
PS151623	PS256300	1.34378	0.59401	0.3288	1.34378
PS193000	PS193500	1.34373	0.26251	0.23174	1.34373
PS118100	PS610489	1.34372	0.24964	0.47202	1.34372
PS153100	PS202700	1.34371	0.48153	0.30575	1.34371
PS158350	PS168000	1.34367	1.20835	0.7779	1.34367
PS145260	PS601678	1.34366	0.62684	0.37276	1.34366
PS220400	PS615419	1.34363	0.70089	0.15287	1.34363
PS259700	PS608567	1.34357	0.88807	0.17471	1.34357
PS600513	PS612286	1.34354	1.00513	0.21112	1.34354
PS233300	PS613038	1.3434	0.37735	0.86736	1.3434
PS118100	PS135900	1.34339	0.59059	1.08679	1.34339
PS118450	PS305100	1.34337	0.07188	0.30575	1.34337
PS218330	PS257300	1.22759	1.34337	0.30575	1.34337
PS107970	PS252350	1.34334	0.19231	0.32551	1.34334
PS188050	PS192500	1.34329	0.63156	0.21839	1.34329
PS193100	PS610489	1.34328	0.6851	0.75418	1.34328
PS161800	PS193900	1.10155	1.34317	0	1.34317
PS100300	PS192500	1.34315	0.64425	0.63782	1.34315
PS122470	PS173900	1.34308	0.76261	0.23815	1.34308
PS253600	PS265450	1.34296	0.2621	0.66162	1.34296
PS173900	PS277300	1.34277	0.26884	0.25188	1.34277
PS173900	PS306955	1.34274	0.50156	0.22689	1.34274
PS151660	PS235200	1.34262	0.45419	0.28482	1.34262
PS107250	PS136760	1.17719	0.44749	1.34261	1.34261
PS122000	PS265450	1.34253	0.32221	0.54827	1.34253
PS133780	PS193100	1.34237	1.08799	0.2436	1.34237
PS163950	PS210200	0.36594	0.48234	1.34219	1.34219
PS122470	PS213600	1.34216	0.57189	0.2674	1.34216
PS233300	PS275200	1.34208	0.48329	1.04702	1.34208
PS231200	PS243310	1.34191	0.84888	0.41832	1.34191
PS105400	PS163950	1.34186	0.49231	0.83097	1.34186
PS183600	PS273750	1.34184		0.35186	1.34184
PS136760	PS300345	1.3417	0.13692	0.56555	1.3417
PS145980	PS256730	0.55918	1.3415	0.20383	1.3415
PS215100	PS249270	1.3414	0.59577	0.06976	1.3414
PS167200	PS257300	0.76381	1.34135	0.21112	1.34135
PS605432	PS614429	1.34132	1.17104	0.63629	1.34132
PS193900	PS228520	1.34128	1.10079	1.0863	1.34128
PS105550	PS265450	1.1073	0.36097	1.34117	1.34117
PS607596	PS609060	1.34116	0.68113	0.69324	1.34116
PS178600	PS607594	1.34108	0.76735	0.2446	1.34108
PS187950	PS194070	1.34108	0.46406	0.28599	1.34108
PS106600	PS603278	1.34104	0.44154	0.33342	1.34104
PS115210	PS300352	1.341	0.51394	0	1.341
PS173900	PS231200	1.34096	1.25574	0.5463	1.34096
PS115210	PS145260	1.34079	1.19455	0.22568	1.34079
PS239300	PS277450	0.61754	1.34071	1.08837	1.34071
PS188050	PS268310	1.34062	0.79276	0.29379	1.34062
PS124900	PS608583	1.34061	0.76801	0.14112	1.34061
PS100300	PS193100	1.34049	0.54717	0.22244	1.34049
PS113900	PS256450	1.34048	0.8447	0.70325	1.34048
PS252150	PS600721	1.34039	0.50818	0.83851	1.34039
PS256100	PS600118	1.34035	0.49528	0.16671	1.34035
PS135700	PS165500	1.34023	0.37321	0.6122	1.34023
PS265450	PS308240	1.34012	0.27749	0.86596	1.34012
PS167200	PS614388	1.33989	0.58835	0.24994	1.33989
PS187950	PS188050	1.33989	0.86349	0.27117	1.33989
PS187950	PS604772	1.33987	0.74518	0.32551	1.33987
PS118450	PS604772	0.97986	0.49551	1.33969	1.33969
PS131100	PS607086	1.33961	0.69308	0.85394	1.33961
PS159000	PS220400	1.33956	0.52097	0.13589	1.33956
PS612286	PS613280	1.33952	0.5952	0	1.33952
PS180849	PS248600	0.40124	1.33939	0.60666	1.33939
PS109730	PS266900	1.33938	0.54143	0.27178	1.33938
PS600118	PS601390	1.33922	0.47358	0.08371	1.33922
PS115200	PS160120	1.33919	0.56636	0.29764	1.33919
PS107970	PS256300	1.33915	0.75831	0.35186	1.33915
PS124900	PS160120	1.33906	0.88614	0.1264	1.33906
PS193500	PS604169	1.339	0.40757	0.24104	1.339
PS142690	PS251450	0.44308	1.33898	0.72558	1.33898
PS105400	PS160150	1.33896	0.69551	0.45502	1.33896
PS153100	PS306400	1.33884	0.75443	0.2446	1.33884
PS147950	PS236100	1.33879	0.58923	0.1917	1.33879
PS213600	PS603387	1.33879	0.47108	0.63686	1.33879
PS201000	PS228520	1.33868	0.82665	0.51025	1.33868
PS193900	PS244400	1.33849	1.13104	0	1.33849
PS118100	PS400044	1.33847	0.59389	0.43427	1.33847
PS113900	PS220290	1.3384	0.67099	0.23815	1.3384
PS147950	PS300345	1.33817	0.56299	0.50959	1.33817
PS163950	PS180849	1.33808	0.35239	0.76497	1.33808
PS113900	PS300345	1.33797	0.59397	0.20383	1.33797
PS179850	PS241550	1.33796	0.36995	0.2446	1.33796
PS160120	PS609192	1.33793	0.92476	0.31535	1.33793
PS145260	PS200600	1.3379	0.34987	0.15287	1.3379
PS188050	PS235200	1.33786	1.02676	0.24104	1.33786
PS105650	PS215100	1.33783	0.75551	0.19721	1.33783
PS133100	PS607594	1.3378	0.43833	0.26207	1.3378
PS107970	PS124900	1.33775	0.77513	0.32551	1.33775
PS236670	PS300352	0.62833	0.55028	1.33771	1.33771
PS300352	PS613155	0.65737	0.71421	1.33771	1.33771
PS135700	PS167200	1.06298	1.33767	0.17309	1.33767
PS194070	PS270300	1.33746	0.53354	0.22255	1.33746
PS187950	PS265450	1.33735	0.24362	0.14649	1.33735
PS100300	PS272430	1.33733	0.14802	0.364	1.33733
PS202200	PS259900	1.33732	0.36736	0.26207	1.33732
PS157640	PS607426	0.5274	1.33715	0.6797	1.33715
PS165500	PS609060	0.43	1.33715	0.72339	1.33715
PS202200	PS607765	1.33715	0.70663	0.1738	1.33715
PS114580	PS614429	1.33706	0.75436	0.17792	1.33706
PS142690	PS208085	0.43014	1.33705	0.29605	1.33705
PS273750	PS300000	1.12344	1.33699		1.33699
PS145980	PS203100	0.70309	1.33698	0.13589	1.33698
PS167250	PS214150	1.33693	1.01989	0.42629	1.33693
PS256450	PS312170	1.33684	0.66235	0.43538	1.33684
PS142690	PS608594	0.46318	1.33671	0.26389	1.33671
PS120435	PS133100	1.33667	0.67435	0.76545	1.33667
PS277600	PS601390	0.4378	0	1.33666	1.33666
PS168600	PS603278	1.33664	0.57441	0.61504	1.33664
PS165500	PS228520	1.33663	0.38846	0.51114	1.33663
PS109730	PS151623	1.33653	1.03667	1.07011	1.33653
PS243310	PS614388	1.33653	0.70698	0.77989	1.33653
PS118220	PS119530	1.3363	0.53601	0.22255	1.3363
PS272430	PS277600	0.69986	1.33612	0.32826	1.33612
PS105250	PS211400	0.42342	1.3361	0.93207	1.3361
PS100300	PS610489	1.33594	0.62897	0.20383	1.33594
PS104500	PS106600	1.33586	0.40217	0.33342	1.33586
PS167250	PS233300	1.33575	0.33177	0.28599	1.33575
PS109730	PS156200	1.33561	0.84964	0.90826	1.33561
PS251200	PS613038	1.33556	0.36384	0.15847	1.33556
PS273750	PS607326	1.33552	0.67132	0.35186	1.33552
PS122000	PS607411	1.33546	0.51787	0.50453	1.33546
PS193100	PS608583	1.33538	0.90145	0.15288	1.33538
PS183600	PS253600	1.3352		0.23174	1.3352
PS266900	PS606215	1.33514	0.42439	0.22248	1.33514
PS278300	PS614080	1.33511	0.49892	0.58194	1.33511
PS214100	PS600118	1.33507	0.8235	0.16671	1.33507
PS151100	PS233300	1.33504	0.37084	0.39603	1.33504
PS118450	PS272430	1.33502	0.49497	0.4095	1.33502
PS161050	PS309800	1.33497	0.19227	0.18563	1.33497
PS107250	PS193000	1.33495	0.24181	0.17135	1.33495
PS188050	PS306400	1.33493	1.26232	0.65578	1.33493
PS266900	PS273750	1.33481	1.06208	0.44408	1.33481
PS225750	PS308230	1.33477	0.44004	0.8006	1.33477
PS182250	PS614742	0.4245	0.30043	1.33439	1.33439
PS105650	PS218330	1.33433	0.89111	0.22255	1.33433
PS133780	PS214150	1.3343	0.24815	0.20767	1.3343
PS187950	PS243310	1.33429	0.60294	0.30252	1.33429
PS133100	PS306400	1.3342	0.60795	0.55414	1.3342
PS118100	PS158810	1.33405	0.93193	0.36503	1.33405
PS179850	PS236100	1.33397	0.51493	0.1917	1.33397
PS104290	PS108800	1.33387	0.35361	0.5138	1.33387
PS180849	PS607594	1.33385	0.52462	0.17792	1.33385
PS251270	PS603278	0.54887	1.30738	1.33385	1.33385
PS256300	PS308230	1.33377	0.65	0.30159	1.33377
PS178600	PS202700	1.3335	0.53162	0.2446	1.3335
PS121200	PS604772	1.33349	0.84779	0.20838	1.33349
PS214450	PS215100	1.33335	0.552	0.74859	1.33335
PS608583	PS609192	1.33331	0.86306	0.21193	1.33331
PS241550	PS610489	1.33319	0.49914	0.21839	1.33319
PS173900	PS253600	1.33317	1.04607	0.20643	1.33317
PS213600	PS253600	1.33315	0.71123	0.40845	1.33315
PS109730	PS213300	1.33314	0.41119	0.26134	1.33314
PS168000	PS215100	1.31991	1.33314	0.47787	1.33314
PS213600	PS610799	1.33309	0.35208	0.62076	1.33309
PS256300	PS265450	1.33307	0.24105	0.1435	1.33307
PS118450	PS163950	1.33305	0.49261	0.54139	1.33305
PS193500	PS214150	1.33302	0.99538	0.58072	1.33302
PS308230	PS400044	1.33299	0.34538	0.36607	1.33299
PS243310	PS269500	1.33296	0.12675	0.50198	1.33296
PS151660	PS601675	1.33295	1.03036	0.27117	1.33295
PS191100	PS209900	1.33295	0.66752	0.29993	1.33295
PS193000	PS265450	1.33291	0.20049	0.1435	1.33291
PS107970	PS213600	1.3328	1.00183	0.19437	1.3328
PS113900	PS124900	1.33267	0.74544	0.22931	1.33267
PS109730	PS603278	1.33249	0.53621	0.59814	1.33249
PS107970	PS120100	1.33245	0.40024	0.30575	1.33245
PS173900	PS244400	1.07599	1.33242	0.22689	1.33242
PS115150	PS603387	1.33234	0.56376	1.31405	1.33234
PS607432	PS614388	1.33232	0.42138	0.26207	1.33232
PS162000	PS608567	1.33207	0.70123	0.1738	1.33207
PS120100	PS609620	1.33204	0.26315	0.42119	1.33204
PS121200	PS169150	0.2736	1.33199		1.33199
PS118450	PS607594	1.33197	0.94835	0.30575	1.33197
PS187950	PS256300	1.33195	0.81152	0.33342	1.33195
PS108800	PS610489	1.33193	0.51	0.71914	1.33193
PS108300	PS309801	1.3319	0.79559	0.10464	1.3319
PS142690	PS268310	1.08892	1.3319	0.31304	1.3319
PS156200	PS265450	1.33181	0.32743	0.89033	1.33181
PS106600	PS272430	1.213	0.67662	1.33164	1.33164
PS187950	PS272430	1.32487	0.14344	1.33164	1.33164
PS231050	PS606215	1.3316	0	0.46159	1.3316
PS118100	PS167200	1.33159	0.58914	0.28392	1.33159
PS260370	PS612199	0.67937	0.69887	1.33155	1.33155
PS124900	PS213600	1.33144	0.81549	0.16667	1.33144
PS114580	PS610489	1.33141	0.67873	0.23104	1.33141
PS165500	PS234200	0.72608	1.33141	0.83197	1.33141
PS183600	PS607086	1.33131		0.17253	1.33131
PS118450	PS179850	1.33124	0.45557	0.2446	1.33124
PS236100	PS251600	1.3312	0.30949	0.42914	1.3312
PS120100	PS162000	1.33118	0.49607	0.24647	1.33118
PS115150	PS208500	1.33106	0.71727	0.12761	1.33106
PS308350	PS609192	1.33101	0.825	0.25133	1.33101
PS135900	PS308230	1.331	0.62458	0.21637	1.331
PS100300	PS601495	1.33098	0.64092	0.23815	1.33098
PS115210	PS251200	1.22482	1.33097	0.37491	1.33097
PS123100	PS235200	1.33097	0.23633	0.21779	1.33097
PS306400	PS607014	0.8586	1.33097	0.40337	1.33097
PS107970	PS187950	1.33094	0.72222	0.36503	1.33094
PS105650	PS214100	1.33084	0.53955	0.22255	1.33084
PS115150	PS273750	1.33079	0.86121	0.12512	1.33079
PS268310	PS305620	1.33073	0.96017	0.63321	1.33073
PS113900	PS183600	1.3307		0.23815	1.3307
PS168600	PS256300	1.33063	0.72758	0.23758	1.33063
PS124900	PS607086	1.33061	0.69793	0.44064	1.33061
PS106600	PS231050	1.3306	0.76106	0.28599	1.3306
PS136760	PS251600	1.33056	0.35548	0.65981	1.33056
PS101800	PS194070	1.3305	0.43374	0.78093	1.3305
PS107250	PS107970	1.33038	0.29295	0.20771	1.33038
PS147950	PS193500	1.33036	0.38748	0.19863	1.33036
PS277300	PS607432	1.33034	0.3326	0.49062	1.33034
PS131100	PS265450	1.3303	0.30665	0.73995	1.3303
PS248370	PS310300	0.84211	1.33028	0.16742	1.33028
PS122470	PS194070	1.33023	1.16678	0.48832	1.33023
PS160120	PS600118	1.33004	0.67668	0.10419	1.33004
PS276700	PS309801	1.3299	0.46828	0.4744	1.3299
PS151660	PS614388	1.32985	0.71676	0.32551	1.32985
PS277450	PS608594	0.35059	1.3298	0	1.3298
PS120100	PS160120	1.32954	0.29857	0.27459	1.32954
PS209900	PS604233	1.15212	1.32939	0.20838	1.32939
PS275200	PS608583	1.32934	0.19335	0.12521	1.32934
PS213600	PS305620	1.32928	0.77903	0.50356	1.32928
PS167200	PS251200	1.22502	1.32926	0.21112	1.32926
PS165500	PS209900	1.32921	0.75616	0.1435	1.32921
PS190440	PS228520	1.32921	0.7828	0.39168	1.32921
PS218330	PS268000	0.84634	1.32921	0.24647	1.32921
PS121210	PS178600	1.32917	1.10746	0.29993	1.32917
PS132400	PS136760	1.32916	0.12322	0	1.32916
PS119530	PS604772	1.32875	0.61738	0.30575	1.32875
PS151100	PS214450	1.27105	0.91045	1.32857	1.32857
PS601144	PS610489	1.32851	0.93919	0.17508	1.32851
PS248600	PS601675	0.59801	1.3283	0.13271	1.3283
PS108800	PS158810	1.32822	0.63601	0.17343	1.32822
PS308230	PS608583	1.32813	0.90653	0.17035	1.32813
PS120435	PS610489	1.27819	0.60628	1.3281	1.3281
PS156200	PS183600	1.32808		0.23658	1.32808
PS145260	PS185800	1.32801	0	0.19656	1.32801
PS145260	PS186500	1.32801	0	0.19656	1.32801
PS308350	PS614429	1.32799	0.53288	0.14162	1.32799
PS308240	PS309800	1.32777	0.31155	0.17135	1.32777
PS218330	PS273750	1.17652	1.32776	0.35186	1.32776
PS163950	PS265450	1.32773	0.27169	1.24868	1.32773
PS168600	PS231200	1.32765	0.79855	0.41436	1.32765
PS213600	PS269500	1.32762	0.14752	0.26314	1.32762
PS131100	PS607594	1.32761	0.36374	0.1738	1.32761
PS106600	PS604169	1.32757	0.26808	0.30575	1.32757
PS208000	PS210200	0	0.23469	1.32749	1.32749
PS178600	PS209900	1.32748	1.20539	0.26273	1.32748
PS608567	PS610489	1.32746	0.91962	0.17985	1.32746
PS160150	PS607086	1.32741	0.85393	0.46245	1.32741
PS151623	PS163950	1.32733	0.40457	0.90625	1.32733
PS192600	PS610489	1.32732	0.60101	0.49212	1.32732
PS120100	PS608583	1.32725	0.2048	0.14299	1.32725
PS118100	PS167250	1.32709	0.72054	1.15988	1.32709
PS108800	PS231200	1.32703	0.29833	0.25102	1.32703
PS119530	PS601675	1.32695	0.98498	0.25964	1.32695
PS175800	PS605711	1.32691	0.5843	0.41976	1.32691
PS106600	PS175780	1.32685	0.96642	0.29993	1.32685
PS133780	PS305100	1.32675	0.20541	0.26531	1.32675
PS235200	PS613280	1.32674	0.65846	0	1.32674
PS602014	PS612286	1.32667	1.04445	0.19437	1.32667
PS208000	PS600513	0.87973	1.32664	0.2818	1.32664
PS123100	PS256300	1.32652	0.3595	0.21693	1.32652
PS108800	PS251600	1.3265	0.32594	0.48378	1.3265
PS133780	PS156200	1.32645	0.18528	0.23519	1.32645
PS310300	PS606215	1.32641	1.04577	0.24291	1.32641
PS167250	PS610489	1.3263	0.41262	0.44358	1.3263
PS158810	PS187300	1.32624	1.01173	0.3009	1.32624
PS182250	PS265450	1.32618	0.34373	1.10401	1.32618
PS118450	PS249000	1.32613	0.25967	0.35186	1.32613
PS213600	PS308350	1.32611	0.76585	0.72829	1.32611
PS114580	PS214150	1.32596	1.08778	0.21648	1.32596
PS606215	PS615952	1.32594	0.48148	0.56	1.32594
PS101800	PS173900	1.32591	1.04183	0.48101	1.32591
PS308240	PS600513	1.32582	1.13248	0.41185	1.32582
PS178600	PS600118	1.32579	0.74569	0.18063	1.32579
PS210200	PS601675	0.93142	1.32565	0.4847	1.32565
PS145260	PS214150	1.11335	1.32561	0.88069	1.32561
PS234200	PS614388	1.32561	1.02968	0.26207	1.32561
PS101800	PS192600	1.32557	0.58414	0.6532	1.32557
PS106600	PS400044	1.32552	0.34789	0.20868	1.32552
PS308240	PS613038	1.32551	0.29124	0.13922	1.32551
PS259700	PS308240	1.32549	0.76686	0.5709	1.32549
PS142690	PS613155	0.67937	1.32545	0.69368	1.32545
PS134600	PS607411	0.61091	0.28865	1.32531	1.32531
PS607411	PS614388	0.51709	0.33311	1.32531	1.32531
PS236100	PS272430	1.32525	0.18059	0.31485	1.32525
PS607086	PS610489	1.29721	0.63922	1.32522	1.32522
PS309801	PS604931	1.32513	0.49165	0.81628	1.32513
PS119530	PS135900	1.3251	1.28626	0.20043	1.3251
PS122470	PS159000	1.32508	0.97323	0.26207	1.32508
PS106600	PS253600	1.32506	0.24574	0.26207	1.32506
PS115150	PS251200	1.32497	1.00239	0.12761	1.32497
PS241550	PS259700	1.32497	0.36491	0.30575	1.32497
PS120435	PS607086	1.32492	0.67087	1.26258	1.32492
PS118450	PS192600	1.32484	0.07188	0.80899	1.32484
PS135700	PS300000	0.98629	1.32471		1.32471
PS162000	PS308230	1.32469	0.80016	0.28482	1.32469
PS236100	PS607086	1.32461	0.37097	0.56349	1.32461
PS180849	PS269500	1.32445	0.59231	0.24741	1.32445
PS179850	PS300345	1.32439	0.69717	0.50959	1.32439
PS187950	PS601495	1.32432	1.0784	0.89193	1.32432
PS108800	PS233300	1.32425	0.44029	0.78867	1.32425
PS151100	PS253600	1.32423	0.52684	0.77793	1.32423
PS115200	PS161800	1.12066	1.25949	1.32416	1.32416
PS115200	PS310300	1.23917	1.29549	1.32416	1.32416
PS156200	PS194070	1.32382	0.86163	1.13421	1.32382
PS214100	PS214450	1.32381	0.50307	0.28901	1.32381
PS112240	PS277450	0.14647	1.32376	0	1.32376
PS266900	PS603278	1.32376	0.778	0.34033	1.32376
PS158810	PS268310	1.32372	1.07212	0.34434	1.32372
PS123100	PS187950	1.32365	0.31961	0.23758	1.32365
